Dataset,Method,Hardness,Spearman Rho,p-value,low_recall
sift1m_A1_12_zipf_0.5_0.0,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A1_12_zipf_0.5_0.0,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
sift1m_A1_12_zipf_0.5_0.0,post_filter,correlation,0.6,0.06668799999999996,0
sift1m_A1_12_zipf_0.5_0.0,nhq,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
sift1m_A1_12_zipf_0.5_0.0,nhq,selectivity,0.9999999999999999,6.646897422032013e-64,0
sift1m_A1_12_zipf_0.5_0.0,nhq,correlation,0.5151515151515151,0.12755286970323426,0
sift1m_A1_12_zipf_0.5_0.0,rwalks,Post_Hardness,-0.9393939393939393,5.484052998513666e-05,0
sift1m_A1_12_zipf_0.5_0.0,rwalks,selectivity,0.9999999999999999,6.646897422032013e-64,0
sift1m_A1_12_zipf_0.5_0.0,rwalks,correlation,0.32121212121212117,0.3654683104386702,0
sift1m_A1_12_zipf_0.5_0.0,ACORN,Post_Hardness,-0.7818181818181817,0.007547007781067878,0
sift1m_A1_12_zipf_0.5_0.0,ACORN,selectivity,0.8060606060606059,0.004862061101964606,0
sift1m_A1_12_zipf_0.5_0.0,ACORN,correlation,0.8303030303030302,0.0029402270232795065,0
sift1m_A1_12_zipf_0.5_0.0,ung,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
sift1m_A1_12_zipf_0.5_0.0,ung,selectivity,-0.9636363636363635,7.320974809529922e-06,0
sift1m_A1_12_zipf_0.5_0.0,ung,correlation,-0.5272727272727272,0.11730806555020223,0
sift1m_A1_12_zipf_0.5_0.0,pre_filter,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
sift1m_A1_12_zipf_0.5_0.0,pre_filter,selectivity,-0.8545454545454544,0.0016368033159867143,0
sift1m_A1_12_zipf_0.5_0.0,pre_filter,correlation,-0.5151515151515151,0.12755286970323426,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.2727272727272727,0.44583834154275137,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.9757575757575757,1.4675461874042197e-06,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.9878787878787878,9.307459988955517e-08,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.19999999999999998,0.5795840000000001,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.709090909090909,0.021665923367532435,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,0.006060606060606061,0.9867429111949892,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.19999999999999998,0.5795840000000001,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.9272727272727272,0.00011203450639397582,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.1515151515151515,0.6760651759978538,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,selectivity,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,correlation,0.13939393939393938,0.7009318849100584,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9030303030303028,0.00034361219776328223,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,selectivity,-0.7454545454545454,0.013330146315440047,0
sift1m_A3_6_6_6_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,correlation,0.5272727272727272,0.11730806555020223,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,post_filter,correlation,0.19999999999999998,0.5795840000000001,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,selectivity,0.9878787878787878,9.307459988955517e-08,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,nhq,correlation,0.18787878787878787,0.603217610029209,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,Post_Hardness,-0.6606060606060605,0.03758837757140939,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,selectivity,0.6848484848484848,0.02888279750673276,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,rwalks,correlation,0.13939393939393938,0.7009318849100584,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,selectivity,0.9878787878787878,9.307459988955517e-08,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ACORN,correlation,0.11515151515151514,0.7514196523258483,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,selectivity,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,ung,correlation,0.06666666666666665,0.8548130882487426,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,Post_Hardness,0.7818181818181817,0.007547007781067878,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,selectivity,-0.709090909090909,0.021665923367532435,0
sift1m_A3_12_12_12_zipf_0.5_0.5_0.5_0.0_0.0_0.0,pre_filter,correlation,0.04242424242424241,0.907363817812816,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,selectivity,0.9999999999999999,6.646897422032013e-64,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,correlation,0.6242424242424242,0.053717767217167395,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,Post_Hardness,-0.7212121212121211,0.018573155089460208,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,selectivity,0.6484848484848483,0.04254012768448945,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,correlation,0.32121212121212117,0.3654683104386702,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,selectivity,0.9999999999999999,6.646897422032013e-64,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,correlation,0.5151515151515151,0.12755286970323426,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9999999999999999,6.646897422032013e-64,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,selectivity,0.8181818181818182,0.0038149200825507135,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,correlation,0.5393939393939393,0.1075931877824148,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,selectivity,-0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,correlation,0.28484848484848485,0.42503815489214547,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9636363636363635,7.320974809529922e-06,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,selectivity,-0.9515151515151514,2.279854920641689e-05,0
sift1m_A12_1_1_1_1_1_1_1_1_1_1_1_1_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,correlation,-0.49090909090909085,0.14965567342083677,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,Post_Hardness,-0.9272727272727272,0.00011203450639397582,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,selectivity,0.9151515151515152,0.0002044724061488323,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,correlation,0.3696969696969697,0.2930500752928223,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,Post_Hardness,-0.8666666666666665,0.0011735381801554687,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,selectivity,0.9515151515151514,2.279854920641689e-05,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,correlation,0.18787878787878787,0.603217610029209,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,Post_Hardness,-0.9151515151515152,0.0002044724061488323,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,selectivity,0.9636363636363635,7.320974809529922e-06,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,correlation,0.29696969696969694,0.4047016712701569,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9757575757575757,1.4675461874042197e-06,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,selectivity,0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,correlation,0.1515151515151515,0.6760651759978538,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,Post_Hardness,0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,selectivity,-0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,correlation,0.04242424242424241,0.907363817812816,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9999999999999999,6.646897422032013e-64,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,selectivity,-0.6848484848484848,0.02888279750673276,0
sift1m_A12_3_3_3_3_3_3_3_3_3_3_3_3_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,correlation,-0.7212121212121211,0.018573155089460208,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,Post_Hardness,-0.8333333333333333,0.005265691029161748,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,selectivity,0.6190476190476191,0.1017330374542646,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,correlation,0.28484848484848485,0.42503815489214547,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,Post_Hardness,-0.9636363636363635,7.320974809529922e-06,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,selectivity,0.8145934285312865,0.004106131521831071,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,correlation,0.23636363636363633,0.5108853175152002,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,Post_Hardness,-0.9151515151515152,0.0002044724061488323,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,selectivity,0.6200636545536659,0.05582263340222193,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,correlation,0.29696969696969694,0.4047016712701569,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,Post_Hardness,-0.9878787878787878,9.307459988955517e-08,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,selectivity,0.8997002046464955,0.00039167359562948393,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ACORN,correlation,-0.05454545454545454,0.8810361811618526,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,Post_Hardness,0.9636363636363635,7.320974809529922e-06,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,selectivity,-0.9665698144513026,5.248115668648561e-06,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,ung,correlation,-0.10303030303030303,0.7769984634438898,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,Post_Hardness,0.9833333333333333,1.9361963037459243e-06,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,selectivity,-0.395138603392042,0.25841872523187825,0
sift1m_A12_6_6_6_6_6_6_6_6_6_6_6_6_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,pre_filter,correlation,-0.006060606060606061,0.9867429111949892,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,Post_Hardness,-0.7,0.03576957497026169,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,selectivity,0.6200636545536659,0.05582263340222193,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,post_filter,correlation,0.23636363636363633,0.5108853175152002,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,Post_Hardness,-0.9272727272727272,0.00011203450639397582,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,selectivity,0.9761904761904763,3.3143960262001043e-05,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,nhq,correlation,-0.049999999999999996,0.8983528043506301,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,Post_Hardness,-0.9272727272727272,0.00011203450639397582,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,selectivity,0.9179373709568976,0.0001795302177889845,0
sift1m_A12_12_12_12_12_12_12_12_12_12_12_12_12_zipf_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.5_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,rwalks,correlation,-0.03333333333333333,0.932156735540504,0
